City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
0,Mahebourg,MU,2020-05-10 20:40:08,-20.41,57.7,73.4,56,40,9.17,scattered clouds,0.0,0.0
1,Qaanaaq,GL,2020-05-10 20:40:08,77.48,-69.36,11.98,84,0,2.15,clear sky,0.0,0.0
2,Mezen,RU,2020-05-10 20:40:08,65.85,44.24,31.35,98,0,4.79,clear sky,0.0,0.0
3,Rikitea,PF,2020-05-10 20:40:09,-23.12,-134.97,76.06,73,4,10.25,clear sky,0.0,0.0
4,Port Elizabeth,ZA,2020-05-10 20:40:09,-33.92,25.57,59.0,72,0,3.36,clear sky,0.0,0.0
5,Talnakh,RU,2020-05-10 20:40:09,69.49,88.4,30.2,92,75,4.47,broken clouds,0.0,0.0
6,Mataura,NZ,2020-05-10 20:40:09,-46.19,168.86,46.44,82,71,3.36,broken clouds,0.0,0.0
7,Nizhneyansk,NZ,2020-05-10 20:40:09,-46.19,168.86,46.44,82,71,3.36,broken clouds,0.0,0.0
8,Saint-Philippe,RE,2020-05-10 20:47:43,-21.36,55.77,68.0,56,90,8.05,overcast clouds,0.0,0.0
9,Alta Floresta,BR,2020-05-10 20:47:44,-9.88,-56.09,77.74,93,100,3.76,light rain,0.0,0.0
10,Hermanus,ZA,2020-05-10 20:47:44,-34.42,19.23,57.99,91,0,4.0,clear sky,0.0,0.0
11,Tonekabon,IR,2020-05-10 20:47:04,36.82,50.87,59.0,100,90,11.41,light rain,0.0,0.0
12,Kalmunai,LK,2020-05-10 20:47:44,7.42,81.82,81.48,80,98,4.0,overcast clouds,0.0,0.0
13,Saskylakh,RU,2020-05-10 20:47:44,71.92,114.08,14.49,95,46,7.09,scattered clouds,0.0,0.0
14,Taolanaro,RU,2020-05-10 20:47:44,71.92,114.08,14.49,95,46,7.09,scattered clouds,0.0,0.0
15,Barentsburg,RU,2020-05-10 20:47:44,71.92,114.08,14.49,95,46,7.09,scattered clouds,0.0,0.0
16,Port Alfred,ZA,2020-05-10 20:47:44,-33.59,26.89,71.01,48,0,7.81,clear sky,0.0,0.0
17,Busselton,AU,2020-05-10 20:47:44,-33.65,115.33,48.0,73,88,2.06,overcast clouds,0.0,0.0
18,Ancud,CL,2020-05-10 20:47:45,-41.87,-73.82,55.99,76,75,5.82,broken clouds,0.0,0.0
19,Kikwit,CD,2020-05-10 20:47:45,-5.04,18.82,72.52,97,100,0.18,overcast clouds,0.0,0.0
20,Martil,MA,2020-05-10 20:47:45,35.62,-5.28,64.4,72,75,12.75,broken clouds,0.0,0.0
21,Albany,US,2020-05-10 20:45:31,42.6,-73.97,55.99,46,97,1.99,overcast clouds,0.0,0.0
22,Khandyga,RU,2020-05-10 20:47:45,62.67,135.6,33.67,93,99,1.03,overcast clouds,0.0,0.0
23,Gallup,US,2020-05-10 20:47:45,35.53,-108.74,80.6,12,40,8.05,scattered clouds,0.0,0.0
24,Dingle,PH,2020-05-10 20:47:45,11.0,122.67,78.66,79,98,5.01,overcast clouds,0.0,0.0
25,Beyneu,KZ,2020-05-10 20:47:45,45.32,55.2,63.52,81,100,15.3,light rain,0.0,0.0
26,Drayton Valley,CA,2020-05-10 20:47:46,53.22,-114.99,47.46,55,99,11.39,light rain,0.0,0.0
27,Fort Nelson,CA,2020-05-10 20:44:18,58.81,-122.7,51.8,34,75,12.75,broken clouds,0.0,0.0
28,Ushuaia,AR,2020-05-10 20:47:46,-54.8,-68.3,44.6,81,89,3.38,light rain,0.0,0.0
29,Arkhara,RU,2020-05-10 20:47:46,49.42,130.08,40.44,87,1,5.19,clear sky,0.0,0.0
30,Punta Arenas,CL,2020-05-10 20:47:46,-53.15,-70.92,46.4,87,75,13.87,light rain,0.0,0.0
31,Kodiak,US,2020-05-10 20:47:46,57.79,-152.41,44.6,87,75,5.82,mist,0.0,0.0
32,Tiko,CM,2020-05-10 20:47:46,4.07,9.37,82.4,83,40,1.12,thunderstorm,0.0,0.0
33,Lebu,CL,2020-05-10 20:47:46,-37.62,-73.65,56.62,78,30,5.39,scattered clouds,0.0,0.0
34,Chokurdakh,RU,2020-05-10 20:47:47,70.63,147.92,30.42,99,98,15.59,light snow,0.0,0.0
35,Dikson,RU,2020-05-10 20:47:47,73.51,80.55,21.88,98,0,10.83,clear sky,0.0,0.0
36,Iqaluit,CA,2020-05-10 20:47:47,63.75,-68.51,26.6,68,75,28.86,broken clouds,0.0,0.0
37,Bluff,NZ,2020-05-10 20:47:47,-46.6,168.33,51.22,77,98,10.56,overcast clouds,0.0,0.0
38,Tambun,ID,2020-05-10 20:47:47,-6.26,107.07,80.6,88,20,3.36,haze,0.0,0.0
39,Aquiraz,BR,2020-05-10 20:47:47,-3.9,-38.39,84.2,70,75,12.75,broken clouds,0.0,0.0
40,Praia,CV,2020-05-10 20:47:47,14.92,-23.51,75.2,69,20,16.11,few clouds,0.0,0.0
41,Kenai,US,2020-05-10 20:47:47,60.55,-151.26,53.6,61,75,10.29,broken clouds,0.0,0.0
42,Natubleng,PH,2020-05-10 20:47:48,16.7,120.78,53.74,100,0,2.42,clear sky,0.0,0.0
43,Clyde River,CA,2020-05-10 20:47:48,70.47,-68.59,14.0,72,90,4.7,overcast clouds,0.0,0.0
44,Bontang,ID,2020-05-10 20:47:48,0.13,117.5,78.06,88,80,6.53,light rain,0.0,0.0
45,Husavik,IS,2020-05-10 20:47:48,66.04,-17.34,48.2,31,7,34.45,clear sky,0.0,0.0
46,Hailar,CN,2020-05-10 20:47:48,49.2,119.7,48.96,64,100,14.88,light rain,0.0,0.0
47,Toliary,CN,2020-05-10 20:47:48,49.2,119.7,48.96,64,100,14.88,light rain,0.0,0.0
48,Puerto Ayora,EC,2020-05-10 20:47:48,-0.74,-90.35,87.8,62,20,17.22,few clouds,0.0,0.0
49,Hilo,US,2020-05-10 20:45:40,19.73,-155.09,80.6,54,75,4.7,broken clouds,0.0,0.0
50,Longyearbyen,SJ,2020-05-10 20:47:48,78.22,15.64,17.6,61,75,6.93,broken clouds,0.0,0.0
51,Belushya Guba,SJ,2020-05-10 20:47:48,78.22,15.64,17.6,61,75,6.93,broken clouds,0.0,0.0
52,Tsihombe,SJ,2020-05-10 20:47:48,78.22,15.64,17.6,61,75,6.93,broken clouds,0.0,0.0
53,Roald,NO,2020-05-10 20:47:49,62.58,6.13,37.99,74,40,13.87,shower rain,0.0,0.0
54,Port Hawkesbury,CA,2020-05-10 20:47:49,45.62,-61.35,42.01,60,90,21.92,overcast clouds,0.0,0.0
55,Grand River South East,CA,2020-05-10 20:47:49,45.62,-61.35,42.01,60,90,21.92,overcast clouds,0.0,0.0
56,Jamestown,US,2020-05-10 20:47:29,42.1,-79.24,55.0,53,90,16.11,overcast clouds,0.0,0.0
57,Tuktoyaktuk,CA,2020-05-10 20:47:49,69.45,-133.04,35.6,80,75,9.17,broken clouds,0.0,0.0
58,Khatanga,RU,2020-05-10 20:47:49,71.97,102.5,21.7,96,91,5.79,overcast clouds,0.0,0.0
59,Kemin,KG,2020-05-10 20:47:49,42.78,75.69,52.45,69,0,3.51,clear sky,0.0,0.0
60,Kiama,AU,2020-05-10 20:47:50,-34.68,150.87,46.99,64,0,7.05,clear sky,0.0,0.0
61,Atuona,PF,2020-05-10 20:47:50,-9.8,-139.03,81.3,78,17,16.46,light rain,0.0,0.0
62,Taltal,CL,2020-05-10 20:47:50,-25.4,-70.48,64.69,68,26,5.5,scattered clouds,0.0,0.0
63,Hobart,AU,2020-05-10 20:47:50,-42.88,147.33,50.0,71,75,13.87,broken clouds,0.0,0.0
64,Sentyabrskiy,AU,2020-05-10 20:47:50,-42.88,147.33,50.0,71,75,13.87,broken clouds,0.0,0.0
65,Robertsport,LR,2020-05-10 20:47:50,6.75,-11.37,81.84,80,8,13.49,clear sky,0.0,0.0
66,Lasa,IT,2020-05-10 20:47:50,46.62,10.7,51.8,81,40,8.05,scattered clouds,0.0,0.0
67,Upernavik,GL,2020-05-10 20:47:50,72.79,-56.15,18.12,87,0,12.95,clear sky,0.0,0.0
68,Barrow,US,2020-05-10 20:47:50,71.29,-156.79,28.4,86,1,5.82,clear sky,0.0,0.0
69,Tiksi,RU,2020-05-10 20:47:51,71.69,128.87,25.93,97,99,5.73,overcast clouds,0.0,0.0
70,East London,ZA,2020-05-10 20:47:51,-33.02,27.91,73.0,35,0,7.34,clear sky,0.0,0.0
71,Saldanha,ZA,2020-05-10 20:47:51,-33.01,17.94,59.0,72,0,5.82,clear sky,0.0,0.0
72,Bandarbeyla,SO,2020-05-10 20:47:51,9.49,50.81,82.44,76,100,11.36,overcast clouds,0.0,0.0
73,San Fernando,PH,2020-05-10 20:47:51,15.03,120.69,78.8,88,75,2.24,broken clouds,0.0,0.0
74,Saint-Raphael,HT,2020-05-10 20:47:51,19.43,-72.2,86.0,66,75,11.41,broken clouds,0.0,0.0
75,Mahibadhoo,MV,2020-05-10 20:47:51,3.78,72.97,85.89,76,100,14.12,overcast clouds,0.0,0.0
76,Chernyshevskiy,RU,2020-05-10 20:47:51,63.01,112.47,26.33,98,100,11.61,light snow,0.0,0.0
77,Avarua,CK,2020-05-10 20:47:40,-21.21,-159.78,80.6,78,99,16.11,overcast clouds,0.0,0.0
78,Huarmey,PE,2020-05-10 20:47:51,-10.07,-78.15,72.19,71,5,9.24,clear sky,0.0,0.0
79,Kashi,CN,2020-05-10 20:47:52,39.45,75.98,55.4,82,40,8.95,scattered clouds,0.0,0.0
80,Cidreira,BR,2020-05-10 20:47:52,-30.18,-50.21,66.67,71,100,10.36,overcast clouds,0.0,0.0
81,Wanning,CN,2020-05-10 20:47:52,18.8,110.4,79.2,93,67,9.15,broken clouds,0.0,0.0
82,Bilma,NE,2020-05-10 20:47:52,18.69,12.92,88.25,10,0,9.66,clear sky,0.0,0.0
83,San Patricio,MX,2020-05-10 20:47:52,19.22,-104.7,82.4,78,5,11.41,clear sky,0.0,0.0
84,Marcona,MX,2020-05-10 20:47:52,19.22,-104.7,82.4,78,5,11.41,clear sky,0.0,0.0
85,Carnarvon,AU,2020-05-10 20:47:52,-24.87,113.63,70.99,60,12,7.72,few clouds,0.0,0.0
86,Zyryanka,RU,2020-05-10 20:47:52,65.75,150.85,30.65,98,100,20.09,light snow,0.0,0.0
87,Pangnirtung,CA,2020-05-10 20:47:52,66.15,-65.71,26.6,68,90,20.8,light snow,0.0,0.0
88,Surkhakhi,RU,2020-05-10 20:47:53,43.19,44.9,46.4,100,84,4.47,broken clouds,0.0,0.0
89,Sibolga,ID,2020-05-10 20:47:53,1.74,98.78,77.83,83,100,3.15,overcast clouds,0.0,0.0
90,Souillac,MU,2020-05-10 20:47:53,-20.52,57.52,73.4,56,40,9.17,scattered clouds,0.0,0.0
91,Batagay-Alyta,RU,2020-05-10 20:47:53,67.8,130.41,21.38,94,90,5.75,overcast clouds,0.0,0.0
92,Mehamn,NO,2020-05-10 20:47:53,71.04,27.85,35.6,69,80,6.93,broken clouds,0.0,0.0
93,Camana,PE,2020-05-10 20:47:53,-16.62,-72.71,68.2,75,68,6.33,broken clouds,0.0,0.0
94,Chuy,UY,2020-05-10 20:47:53,-33.7,-53.46,65.7,71,0,7.87,clear sky,0.0,0.0
95,Praxedis Guerrero,MX,2020-05-10 20:47:54,31.37,-106.02,86.0,21,75,4.83,broken clouds,0.0,0.0
96,Port-Cartier,CA,2020-05-10 20:47:54,50.03,-66.87,44.6,39,75,20.8,broken clouds,0.0,0.0
97,Verkhnyaya Inta,RU,2020-05-10 20:47:54,65.98,60.31,34.63,97,35,1.23,scattered clouds,0.0,0.0
98,Tasiilaq,GL,2020-05-10 20:47:54,65.61,-37.64,32.0,89,0,9.17,clear sky,0.0,0.0
99,Ribeira Grande,PT,2020-05-10 20:47:54,38.52,-28.7,60.8,67,20,16.11,few clouds,0.0,0.0
100,Aripuana,BR,2020-05-10 20:47:54,-9.17,-60.63,79.79,94,93,1.79,light rain,0.0,0.0
101,Abiy Adi,BR,2020-05-10 20:47:54,-9.17,-60.63,79.79,94,93,1.79,light rain,0.0,0.0
102,Vardo,NO,2020-05-10 20:47:54,70.37,31.11,37.4,64,75,18.34,shower rain,0.0,0.0
103,Yerbogachen,RU,2020-05-10 20:47:54,61.28,108.01,30.4,91,13,9.33,few clouds,0.0,0.0
104,Georgetown,MY,2020-05-10 20:47:55,5.41,100.34,78.8,94,40,4.7,scattered clouds,0.0,0.0
105,Eyl,SO,2020-05-10 20:47:55,7.98,49.82,83.89,73,51,9.4,broken clouds,0.0,0.0
106,Rawson,AR,2020-05-10 20:47:55,-43.3,-65.1,59.47,37,86,22.08,overcast clouds,0.0,0.0
107,Baruun-Urt,MN,2020-05-10 20:47:55,46.68,113.28,46.87,55,80,19.33,broken clouds,0.0,0.0
108,Touros,BR,2020-05-10 20:44:27,-5.2,-35.46,82.4,78,20,8.05,few clouds,0.0,0.0
109,Tura,IN,2020-05-10 20:47:55,25.52,90.22,77.14,54,37,2.66,scattered clouds,0.0,0.0
110,Bredasdorp,ZA,2020-05-10 20:47:55,-34.53,20.04,60.8,87,0,3.36,clear sky,0.0,0.0
111,Canutama,BR,2020-05-10 20:47:55,-6.53,-64.38,82.09,90,100,2.28,light rain,0.0,0.0
112,Maragogi,BR,2020-05-10 20:45:28,-9.01,-35.22,77.85,82,100,9.06,overcast clouds,0.0,0.0
113,Usab,PH,2020-05-10 20:47:56,12.33,123.58,81.32,77,100,6.33,overcast clouds,0.0,0.0
114,Kihei,US,2020-05-10 20:47:56,20.79,-156.47,80.6,61,20,13.87,few clouds,0.0,0.0
115,Taoudenni,ML,2020-05-10 20:47:56,22.68,-3.98,96.53,9,35,8.46,scattered clouds,0.0,0.0
116,Orel-Izumrud,RU,2020-05-10 20:47:56,43.46,39.92,50.0,81,75,8.95,broken clouds,0.0,0.0
117,Chifeng,CN,2020-05-10 20:47:56,42.27,118.96,48.65,44,0,13.56,clear sky,0.0,0.0
118,Belmonte,BR,2020-05-10 20:47:56,-15.86,-38.88,75.2,60,20,6.93,few clouds,0.0,0.0
119,Zlobin,HR,2020-05-10 20:47:56,45.29,14.65,57.99,81,98,1.01,overcast clouds,0.0,0.0
120,Puerto Escondido,MX,2020-05-10 20:46:05,15.85,-97.07,87.8,70,5,7.67,clear sky,0.0,0.0
121,Hithadhoo,MV,2020-05-10 20:47:56,-0.6,73.08,85.35,76,98,12.73,light rain,0.0,0.0
122,Illoqqortoormiut,MV,2020-05-10 20:47:56,-0.6,73.08,85.35,76,98,12.73,light rain,0.0,0.0
123,Plainview,US,2020-05-10 20:47:56,40.78,-73.47,64.0,30,7,1.99,clear sky,0.0,0.0
124,Sao Jose Da Coroa Grande,BR,2020-05-10 20:47:57,-8.9,-35.15,78.78,80,100,9.17,overcast clouds,0.0,0.0
125,Arraial Do Cabo,BR,2020-05-10 20:47:48,-22.97,-42.03,73.4,60,0,18.34,clear sky,0.0,0.0
126,Kaa-Khem,RU,2020-05-10 20:47:57,51.68,94.73,50.95,46,9,3.74,clear sky,0.0,0.0
127,Soddy-Daisy,US,2020-05-10 20:47:57,35.24,-85.19,73.99,31,0,4.0,clear sky,0.0,0.0
128,Hamilton,US,2020-05-10 20:45:01,39.18,-84.53,59.0,67,90,21.92,moderate rain,0.0,0.0
129,Tambopata,PE,2020-05-10 20:47:57,-12.73,-69.18,87.17,58,4,1.61,clear sky,0.0,0.0
130,Kahului,US,2020-05-10 20:47:58,20.89,-156.47,80.6,61,20,13.87,few clouds,0.0,0.0
131,Rio Pomba,BR,2020-05-10 20:47:58,-21.27,-43.18,62.6,59,20,6.93,few clouds,0.0,0.0
132,Mount Vernon,US,2020-05-10 20:47:58,40.91,-73.84,64.4,18,40,16.11,scattered clouds,0.0,0.0
133,Stornoway,GB,2020-05-10 20:47:58,58.21,-6.39,39.2,60,66,9.17,broken clouds,0.0,0.0
134,Koppang,NO,2020-05-10 20:47:58,61.57,11.06,24.01,66,0,1.01,clear sky,0.0,0.0
135,Klaksvik,FO,2020-05-10 20:47:58,62.23,-6.59,33.8,55,87,11.41,overcast clouds,0.0,0.0
136,Ponta Do Sol,PT,2020-05-10 20:47:58,32.67,-17.1,68.0,68,20,2.24,few clouds,0.0,0.0
137,Maku,IR,2020-05-10 20:47:58,39.29,44.45,48.36,69,12,2.37,few clouds,0.0,0.0
138,Tarsus,TR,2020-05-10 20:47:59,36.92,34.88,64.4,100,0,2.24,clear sky,0.0,0.0
139,Macherla,IN,2020-05-10 20:47:59,16.48,79.43,84.06,55,2,6.51,clear sky,0.0,0.0
140,Souris,CA,2020-05-10 20:47:59,49.62,-100.26,44.6,39,75,17.22,broken clouds,0.0,0.0
141,Kilemary,RU,2020-05-10 20:47:59,56.78,46.87,47.16,95,18,3.96,few clouds,0.0,0.0
142,Caravelas,BR,2020-05-10 20:47:59,-17.71,-39.25,71.22,74,13,6.62,few clouds,0.0,0.0
143,Fomboni,KM,2020-05-10 20:47:59,-12.28,43.74,81.52,77,94,14.65,moderate rain,0.0,0.0
144,Cleburne,US,2020-05-10 20:44:36,32.35,-97.39,78.01,36,1,10.29,clear sky,0.0,0.0
145,Flinders,AU,2020-05-10 20:47:59,-34.58,150.86,46.99,70,0,4.0,clear sky,0.0,0.0
146,Yellowknife,CA,2020-05-10 20:48:00,62.46,-114.35,37.4,51,40,9.17,scattered clouds,0.0,0.0
147,Ust-Nera,RU,2020-05-10 20:48:00,64.57,143.2,30.56,93,100,4.09,overcast clouds,0.0,0.0
148,Baoro,CF,2020-05-10 20:48:00,5.67,15.97,71.11,80,31,2.35,scattered clouds,0.0,0.0
149,Karratha,AU,2020-05-10 20:48:00,-20.74,116.85,74.84,29,100,18.03,overcast clouds,0.0,0.0
150,Ndioum,SN,2020-05-10 20:48:00,16.51,-14.65,93.79,13,14,15.88,few clouds,0.0,0.0
151,Honningsvag,NO,2020-05-10 20:48:00,70.98,25.97,35.6,69,31,6.93,scattered clouds,0.0,0.0
