City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.19,168.86,52.25,72,100,6.71,NZ,2020-05-06 18:31:16
1,Avarua,-21.21,-159.78,78.8,88,22,5.82,CK,2020-05-06 18:31:16
2,Wynyard,-41.0,145.72,51.01,92,100,1.99,AU,2020-05-06 18:31:16
3,Albany,42.6,-73.97,57.99,32,98,2.82,US,2020-05-06 18:29:55
4,Port Hedland,-20.32,118.57,68.0,82,5,8.05,AU,2020-05-06 18:31:16
5,Arraial Do Cabo,-22.97,-42.03,84.2,69,16,4.7,BR,2020-05-06 18:31:16
6,Rikitea,-23.12,-134.97,74.34,63,95,12.59,PF,2020-05-06 18:31:16
7,Hasaki,35.73,140.83,57.2,93,40,8.05,JP,2020-05-06 18:31:17
8,Ahipara,-35.17,173.17,56.7,79,56,7.9,NZ,2020-05-06 18:31:17
9,Talnakh,69.49,88.4,28.4,92,75,4.47,RU,2020-05-06 18:31:17
10,Mawlaik,23.63,94.42,78.66,66,0,1.83,MM,2020-05-06 18:31:17
11,Dwarka,22.24,68.97,81.97,86,0,14.88,IN,2020-05-06 18:31:17
12,Kieta,-6.22,155.63,78.22,78,11,2.06,PG,2020-05-06 18:31:17
13,Bethel,41.37,-73.41,54.0,50,90,10.29,US,2020-05-06 18:31:17
14,Punta Arenas,-53.15,-70.92,42.8,93,90,4.7,CL,2020-05-06 18:31:17
15,Adrar,20.5,-10.07,97.9,9,0,4.99,MR,2020-05-06 18:31:18
16,Mahebourg,-20.41,57.7,73.4,88,20,3.36,MU,2020-05-06 18:31:18
17,Umm Kaddadah,13.6,26.69,89.4,12,85,14.32,SD,2020-05-06 18:31:18
18,Usinsk,65.99,57.53,34.61,93,100,14.2,RU,2020-05-06 18:31:18
19,Carauari,-4.88,-66.9,87.8,69,99,1.92,BR,2020-05-06 18:31:18
20,Kavieng,-2.57,150.8,81.27,79,96,4.23,PG,2020-05-06 18:31:18
21,Constitucion,-35.33,-72.42,67.87,33,0,12.33,CL,2020-05-06 18:31:18
22,Hermanus,-34.42,19.23,64.99,81,94,10.58,ZA,2020-05-06 18:31:19
23,Upernavik,72.79,-56.15,22.01,93,96,6.38,GL,2020-05-06 18:31:19
24,Vostok,46.49,135.88,34.02,84,0,4.85,RU,2020-05-06 18:31:19
25,Lahijan,37.21,50.0,64.4,93,40,4.7,IR,2020-05-06 18:31:19
26,Qaanaaq,77.48,-69.36,16.2,90,100,1.66,GL,2020-05-06 18:31:19
27,Bathsheba,13.22,-59.52,86.0,66,20,20.8,BB,2020-05-06 18:31:19
28,Moree,-29.47,149.85,53.6,71,86,8.16,AU,2020-05-06 18:31:19
29,Hereford,52.06,-2.71,62.01,51,0,4.47,GB,2020-05-06 18:27:03
