City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hami,42.8,93.45,51.12,37,20,22.37,CN,2020-05-06 19:43:26
1,Butaritari,3.07,172.79,82.89,79,47,10.38,KI,2020-05-06 19:43:27
2,Virginia Beach,36.85,-75.98,68.0,55,75,12.75,US,2020-05-06 19:38:38
3,Hithadhoo,-0.6,73.08,84.18,75,0,8.97,MV,2020-05-06 19:43:27
4,Avera,33.19,-82.53,78.8,31,40,17.22,US,2020-05-06 19:43:27
5,Beringovskiy,63.05,179.32,31.32,96,15,9.46,RU,2020-05-06 19:43:27
6,Rikitea,-23.12,-134.97,74.19,61,94,11.03,PF,2020-05-06 19:43:27
7,Clyde River,70.47,-68.59,14.0,85,1,10.29,CA,2020-05-06 19:43:27
8,Surt,31.21,16.59,77.05,36,1,12.44,LY,2020-05-06 19:43:28
9,Cidreira,-30.18,-50.21,61.03,67,65,15.64,BR,2020-05-06 19:43:28
10,Kapaa,22.08,-159.32,73.4,88,75,20.8,US,2020-05-06 19:42:21
11,Punta Arenas,-53.15,-70.92,44.6,87,75,6.93,CL,2020-05-06 19:40:14
12,Spiridonovka,53.09,50.65,59.0,51,98,8.95,RU,2020-05-06 19:43:28
13,Bredasdorp,-34.53,20.04,62.6,88,51,8.05,ZA,2020-05-06 19:43:28
14,Mar Del Plata,-38.0,-57.56,57.99,62,75,13.87,AR,2020-05-06 19:39:45
15,Abu Dhabi,24.47,54.37,84.2,70,0,9.17,AE,2020-05-06 19:39:48
16,Albany,42.6,-73.97,57.0,45,100,1.01,US,2020-05-06 19:39:36
17,Tyrma,50.08,132.17,34.97,76,1,0.98,RU,2020-05-06 19:43:29
18,Torbay,47.67,-52.73,42.01,80,75,12.75,CA,2020-05-06 19:43:29
19,Sawakin,19.11,37.33,77.72,69,41,9.46,SD,2020-05-06 19:43:29
20,Susangerd,31.56,48.18,82.4,20,0,9.17,IR,2020-05-06 19:43:29
21,Mataura,-46.19,168.86,52.68,73,99,6.82,NZ,2020-05-06 19:43:29
22,Hargeysa,9.56,44.06,73.96,76,57,1.05,SO,2020-05-06 19:39:37
23,Kaitangata,-46.28,169.85,55.99,53,100,5.01,NZ,2020-05-06 19:43:29
24,Saint-Philippe,-21.36,55.77,75.2,78,90,4.7,RE,2020-05-06 19:43:29
25,Pascagoula,30.37,-88.56,84.2,23,1,17.22,US,2020-05-06 19:43:29
26,Hermanus,-34.42,19.23,64.0,85,39,10.8,ZA,2020-05-06 19:39:41
27,Esperance,-33.87,121.9,50.0,71,75,25.28,AU,2020-05-06 19:43:30
28,Jamestown,42.1,-79.24,46.4,45,75,13.87,US,2020-05-06 19:43:21
29,Larsnes,62.2,5.58,48.2,66,75,14.99,NO,2020-05-06 19:43:30
30,Ambilobe,-13.2,49.05,73.15,85,94,2.51,MG,2020-05-06 19:43:30
31,Mount Isa,-20.73,139.5,51.8,62,0,3.36,AU,2020-05-06 19:43:31
32,Kruisfontein,-34.0,24.73,57.56,97,41,4.27,ZA,2020-05-06 19:43:31
33,Chingirlau,51.09,54.08,60.42,48,100,13.71,KZ,2020-05-06 19:43:31
34,Vestmanna,62.16,-7.17,46.4,81,33,9.17,FO,2020-05-06 19:42:52
35,Chuy,-33.7,-53.46,57.72,64,71,12.5,UY,2020-05-06 19:41:45
36,Wahpeton,46.27,-96.61,59.0,38,7,8.05,US,2020-05-06 19:43:31
37,Vaini,-21.2,-175.2,77.0,100,75,2.44,TO,2020-05-06 19:43:31
38,Samarai,-10.62,150.67,79.88,76,100,19.84,PG,2020-05-06 19:43:31
39,Norman Wells,65.28,-126.83,48.2,80,75,4.7,CA,2020-05-06 19:42:32
40,Alexandria,31.22,29.96,65.1,72,0,5.75,EG,2020-05-06 19:42:46
41,Ushuaia,-54.8,-68.3,41.0,80,100,7.76,AR,2020-05-06 19:43:32
42,Sao Teotonio,37.51,-8.71,75.0,57,74,7.47,PT,2020-05-06 19:43:32
43,Qaanaaq,77.48,-69.36,15.78,90,100,1.77,GL,2020-05-06 19:41:59
44,Thompson,55.74,-97.86,32.0,78,5,11.41,CA,2020-05-06 19:43:32
45,Ponta Do Sol,32.67,-17.1,66.2,72,40,4.7,PT,2020-05-06 19:43:32
46,San Cristobal,7.77,-72.22,91.4,52,40,13.87,VE,2020-05-06 19:43:33
47,Saint-Joseph,-21.37,55.62,75.2,78,90,4.7,RE,2020-05-06 19:43:33
48,Avarua,-21.21,-159.78,80.6,83,17,8.05,CK,2020-05-06 19:43:33
49,Bengkulu,-3.8,102.27,77.94,89,100,3.91,ID,2020-05-06 19:43:33
50,Bluff,-46.6,168.33,53.62,84,96,23.85,NZ,2020-05-06 19:43:33
51,Milazzo,38.22,15.24,69.01,69,25,2.48,IT,2020-05-06 19:43:33
52,Georgetown,5.41,100.34,84.0,88,20,2.84,MY,2020-05-06 19:43:33
53,Pisco,-13.7,-76.22,73.4,69,74,10.29,PE,2020-05-06 19:43:34
54,Atuona,-9.8,-139.03,81.12,72,45,16.24,PF,2020-05-06 19:42:14
55,Klaksvik,62.23,-6.59,46.4,81,68,9.17,FO,2020-05-06 19:43:01
56,New Norfolk,-42.78,147.06,48.99,71,100,2.75,AU,2020-05-06 19:41:59
57,Puerto Ayora,-0.74,-90.35,84.2,70,20,13.87,EC,2020-05-06 19:41:49
58,Busselton,-33.65,115.33,51.01,70,77,9.53,AU,2020-05-06 19:41:51
59,Dikson,73.51,80.55,2.7,94,4,8.7,RU,2020-05-06 19:41:44
60,Margate,51.38,1.39,53.01,81,0,12.06,GB,2020-05-06 19:43:34
61,Carnarvon,-24.87,113.63,61.03,67,0,21.59,AU,2020-05-06 19:43:35
62,Makakilo City,21.35,-158.09,78.8,69,75,4.7,US,2020-05-06 19:43:35
63,Port Hardy,50.7,-127.42,51.8,71,75,8.05,CA,2020-05-06 19:43:31
64,Zhigansk,66.77,123.37,13.06,94,100,25.14,RU,2020-05-06 19:43:35
65,Yara,20.28,-76.95,88.66,56,89,9.48,CU,2020-05-06 19:43:35
66,Faya,18.39,42.45,64.4,82,82,4.7,SA,2020-05-06 19:43:35
67,Iqaluit,63.75,-68.51,21.2,73,75,5.82,CA,2020-05-06 19:43:35
68,Lagoa,39.05,-27.98,63.86,87,46,9.66,PT,2020-05-06 19:43:35
69,Payson,40.04,-111.73,77.0,13,1,5.82,US,2020-05-06 19:43:36
70,Biak,-0.91,122.88,78.49,83,11,0.65,ID,2020-05-06 19:43:36
71,Bagenalstown,52.7,-6.96,53.01,79,100,4.0,IE,2020-05-06 19:43:36
72,Hasaki,35.73,140.83,55.4,93,40,10.29,JP,2020-05-06 19:40:52
73,Port Alfred,-33.59,26.89,64.27,77,92,1.5,ZA,2020-05-06 19:43:37
74,Khatanga,71.97,102.5,6.71,89,100,13.6,RU,2020-05-06 19:42:26
75,Dali,25.7,100.18,57.72,82,1,5.77,CN,2020-05-06 19:43:37
76,Mizan Teferi,6.98,35.58,63.3,90,100,3.02,ET,2020-05-06 19:43:37
77,Lampa,-33.28,-70.9,84.0,13,16,2.24,CL,2020-05-06 19:43:37
78,Borger,52.92,6.79,48.0,69,0,1.01,NL,2020-05-06 19:43:37
79,Lebu,-37.62,-73.65,59.72,61,69,18.81,CL,2020-05-06 19:43:37
80,Tiksi,71.69,128.87,19.18,97,100,6.71,RU,2020-05-06 19:43:38
